stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
43c3ace09a0a45b889073ce646bc6832,60,garch,stationary,3.794564262452331e-05,7.75512977204215e-09,0.0,3.7953242651699915e-05,0.9997997528894604,0.0002043337862646316,0.0
4be9b4d23e0149af9dc20ec10d5a360f,1,garch,stationary,3.134370880852787e-06,2.0399717512003227e-07,0.0,3.3342881124704197e-06,0.9400420045076695,0.06118162805339817,0.0
4be9b4d23e0149af9dc20ec10d5a360f,5,garch,stationary,4.870095944301587e-06,1.0296055670019277e-08,0.0,4.880186078858205e-06,0.9979324283145,0.0021097670260204907,0.0
4be9b4d23e0149af9dc20ec10d5a360f,10,garch,stationary,1.0086612072722638e-05,1.3461331685444527e-08,0.0,1.0099804177774374e-05,0.9986938256604254,0.0013328309587494309,0.0
4be9b4d23e0149af9dc20ec10d5a360f,60,garch,stationary,0.00010795112119440318,1.2426523134464159e-08,0.0,0.00010796329918707492,0.9998872024774768,0.00011509951277917069,0.0
4c8b1e3b619a4ee496d68962d30c6da4,1,garch,stationary,1.3398967573027466e-06,5.1709033841648826e-08,0.0,1.3905716104675626e-06,0.9635582570625203,0.03718545197701994,0.0
4c8b1e3b619a4ee496d68962d30c6da4,5,garch,stationary,2.059439318684562e-06,2.181004152303429e-08,0.0,2.080813159377136e-06,0.9897281307568375,0.010481499227716745,0.0
4c8b1e3b619a4ee496d68962d30c6da4,10,garch,stationary,3.5963902565376442e-06,5.24203192671961e-08,0.0,3.647762169419496e-06,0.9859168688922427,0.014370541946691184,0.0
4c8b1e3b619a4ee496d68962d30c6da4,60,garch,stationary,5.420840333809524e-05,1.3476301470380057e-07,0.0,5.434047109250497e-05,0.99756962441152,0.002479975090285665,0.0
4dfaedf40be3485085d926ab58672bde,1,garch,stationary,1.8048773909508896e-06,1.0550585677320087e-07,0.0,1.908273130588626e-06,0.9458171170675956,0.05528865605347414,0.0
4dfaedf40be3485085d926ab58672bde,5,garch,stationary,3.042197817274346e-06,4.2618875106848e-08,0.0,3.083964314879057e-06,0.9864568803850283,0.013819509811195521,0.0
4dfaedf40be3485085d926ab58672bde,10,garch,stationary,6.366744478845747e-06,2.314032408012537e-08,0.0,6.389421996444267e-06,0.9964507716643008,0.003621661567040498,0.0
4dfaedf40be3485085d926ab58672bde,60,garch,stationary,0.00010103995214257456,2.171065599132141e-08,0.0,0.00010106122858544606,0.99978946977818,0.0002148267569591766,0.0
4f713fbe94f542579ec55561a22db006,1,garch,stationary,2.2354764157116903e-06,8.130881404900168e-08,0.0,2.3151590534797128e-06,0.9655822187904289,0.03512018490772525,0.0
4f713fbe94f542579ec55561a22db006,5,garch,stationary,3.875254622698532e-06,2.4055255738905795e-09,0.0,3.877612037760944e-06,0.9993920446296701,0.0006203626227856478,0.0
4f713fbe94f542579ec55561a22db006,10,garch,stationary,8.003868677978551e-06,3.6536032872407867e-09,0.0,8.00744920920005e-06,0.9995528499615852,0.00045627554940255244,0.0
4f713fbe94f542579ec55561a22db006,60,garch,stationary,8.739916942339534e-05,3.82793727759803e-09,0.0,8.740292080192737e-05,0.9999570794831841,4.379644573060559e-05,0.0
50621e92b84e47a197071584bea4bf1d,1,garch,stationary,1.973641551261824e-06,9.792744462723364e-08,0.0,2.0696104469965123e-06,0.9536294881609427,0.04731684881536485,0.0
50621e92b84e47a197071584bea4bf1d,5,garch,stationary,3.5311613616331987e-06,4.491001879305988e-08,0.0,3.575173180050398e-06,0.9876895981814848,0.012561634508688834,0.0
50621e92b84e47a197071584bea4bf1d,10,garch,stationary,5.895143475949331e-06,1.864747490578165e-07,0.0,6.0778887300259915e-06,0.969932773995374,0.030680842861863164,0.0
50621e92b84e47a197071584bea4bf1d,60,garch,stationary,9.317253004990381e-05,1.6965129110699721e-07,0.0,9.333878831518867e-05,0.9982187655498223,0.0018175861736507081,0.0
507fb85f3c2a484f9fa4a78bcbfa992b,1,garch,stationary,3.7702665132495928e-06,9.443094507538765e-07,0.0,4.6956897749883944e-06,0.8029206983246484,0.2011013282401541,0.0
507fb85f3c2a484f9fa4a78bcbfa992b,5,garch,stationary,8.32125413312801e-06,4.969227476249879e-08,0.0,8.369952562395259e-06,0.9941817556426732,0.005936984038088524,0.0
507fb85f3c2a484f9fa4a78bcbfa992b,10,garch,stationary,1.6186265928883288e-05,5.4971220426896546e-08,0.0,1.624013772490165e-05,0.9966827993129789,0.00338489866022546,0.0
507fb85f3c2a484f9fa4a78bcbfa992b,60,garch,stationary,0.0001316020807909075,4.625414363572173e-08,0.0,0.00013164740985167051,0.9996556782939058,0.0003513486796879415,0.0
52f2e172b3444107903ec31242331923,1,garch,stationary,4.187821563680781e-06,9.32156913836681e-07,0.0,5.101335339240729e-06,0.8209265388744444,0.18272802155668932,0.0
52f2e172b3444107903ec31242331923,5,garch,stationary,8.809917281453695e-06,7.176943860643606e-08,0.0,8.880251331288002e-06,0.9920797230607091,0.008081915244174348,0.0
52f2e172b3444107903ec31242331923,10,garch,stationary,1.7396967188724425e-05,1.7159210480189977e-07,0.0,1.756512745143029e-05,0.9904264706777193,0.00976890747171478,0.0
52f2e172b3444107903ec31242331923,60,garch,stationary,0.00020560825913301762,2.0507774812056936e-07,0.0,0.0002058092353261757,0.9990234831161023,0.0009964457998959714,0.0
54a5eea04ed042759b75b0bca90d1ced,1,garch,stationary,2.1295843527554686e-06,1.098000897967599e-06,0.0,3.2056252327637153e-06,0.6643272990833857,0.34252316420062695,0.0
54a5eea04ed042759b75b0bca90d1ced,5,garch,stationary,2.6670549511040042e-06,4.709206398908356e-08,0.0,2.713205173813306e-06,0.9829905149987461,0.017356617348218258,0.0
54a5eea04ed042759b75b0bca90d1ced,10,garch,stationary,5.020512098266239e-06,6.39050284156438e-09,0.0,5.0267747910509715e-06,0.9987541330087272,0.0012712928482376447,0.0
